Name,MonthlyPriceEstimate,Price,geometry
Light Hall,1314.0,5256.0,POINT (-71.08816257666038 42.341811088132346)
Melvin Hall,1349.06,5396.25,POINT (-71.09117069756309 42.34210007673897)
Kerr Hall,1350.0,5400.0,POINT (-71.0912495534789 42.341873070517266)
Smith Hall,1350.94,5403.75,POINT (-71.090589653972 42.34251113997311)
Stwest,1367.5,5470.0,POINT (-71.0906326040553 42.3409553454554)
Kennedy Hall,1371.88,5487.5,POINT (-71.09048589618776 42.342882321628935)
Rodger/Edwards Hall,1409.5,5638.0,POINT (-71.09672716442076 42.33701358620314)
Speare Hall,1449.58,5798.33,POINT (-71.08965060575527 42.340649726237075)
Midtown Hotel,1472.5,5890.0,POINT (-71.08344571672598 42.34351522422472)
The Sheraton,1521.25,6085.0,POINT (-71.08347802606616 42.346183325706676)
Steast,1523.75,6095.0,POINT (-71.09019328902568 42.341367929044026)
Levine Hall & St. Stephens Complex,1528.12,6112.5,POINT (-71.08878883139792 42.34110716505259)
Burstein Hall,1528.12,6112.5,POINT (-71.0928328323929 42.33856452540695)
Rubenstein Hall,1528.12,6112.5,POINT (-71.0932207485244 42.338330606275974)
International Village,1567.5,6270.0,POINT (-71.08899231708389 42.335407469493305)
Loftman Hall,1633.75,6535.0,POINT (-71.09096733230642 42.341695146149135)
East Village,1729.06,6916.25,POINT (-71.08689091338304 42.34046418102966)
Willis Hall,1778.44,7113.75,POINT (-71.09133235224579 42.33807648846073)
West F,1930.0,7720.0,POINT (-71.09148526262837 42.33751762106627)
Douglas Park,1930.0,7720.0,POINT (-71.08351399770004 42.338849685702485)
West A North,2071.88,8287.5,POINT (-71.09275951581635 42.33781589360822)
West A South,2071.88,8287.5,POINT (-71.09312904924082 42.33730725958034)
West C,2071.88,8287.5,POINT (-71.09253439775289 42.33695560895822)
Dav A,2071.88,8287.5,POINT (-71.08460388391975 42.337828379083305)
Dav B,2071.88,8287.5,POINT (-71.08424671099013 42.338254685758216)
West G,2071.88,8287.5,POINT (-71.09204593403071 42.338239752155204)
West E,2104.06,8416.25,POINT (-71.09175285579755 42.3365568598922)
West H,2213.75,8855.0,POINT (-71.09230078466858 42.33856313860653)
