Name,Price,geometry
Kennedy Hall,,POINT (-71.09048589618776 42.342882321628935)
Smith Hall,,POINT (-71.090589653972 42.34251113997311)
Melvin Hall,,POINT (-71.09117069756309 42.34210007673897)
Kerr Hall,,POINT (-71.0912495534789 42.341873070517266)
Loftman Hall,,POINT (-71.09096733230642 42.341695146149135)
Steast,,POINT (-71.09019328902568 42.341367929044026)
Stwest,,POINT (-71.0906326040553 42.3409553454554)
Speare Hall,,POINT (-71.08965060575527 42.340649726237075)
Light Hall,,POINT (-71.08816257666038 42.341811088132346)
Burstein Hall,,POINT (-71.0928328323929 42.33856452540695)
Rubenstein Hall,,POINT (-71.0932207485244 42.338330606275974)
Rodger/Edwards Hall,,POINT (-71.09672716442076 42.33701358620314)
West H,,POINT (-71.09230078466858 42.33856313860653)
West G,,POINT (-71.09204593403071 42.338239752155204)
Willis Hall,,POINT (-71.09133235224579 42.33807648846073)
West F,,POINT (-71.09148526262837 42.33751762106627)
West A North,,POINT (-71.09275951581635 42.33781589360822)
West A South,,POINT (-71.09312904924082 42.33730725958034)
West C,,POINT (-71.09253439775289 42.33695560895822)
West E,,POINT (-71.09175285579755 42.3365568598922)
East Village,,POINT (-71.08689091338304 42.34046418102966)
International Village,,POINT (-71.08899231708389 42.335407469493305)
Dav A,,POINT (-71.08460388391975 42.337828379083305)
Dav B,,POINT (-71.08424671099013 42.338254685758216)
Douglas Park,,POINT (-71.08351399770004 42.338849685702485)
Midtown Hotel,,POINT (-71.08344571672598 42.34351522422472)
The Sheraton,,POINT (-71.08347802606616 42.346183325706676)
Levine Hall & St. Stephens Complex,,POINT (-71.08878883139792 42.34110716505259)
